,number,name,href,len
831,831,NotMNIST_NN_relu_tensorflow_SGD-checkpoint.ipynb,https://nbviewer.jupyter.org/github/abe-shek/notMNIST_using_NN_relu/blob/051cfba2a9c480c89c9ff861be2d9210aad94ae7/.ipynb_checkpoints/NotMNIST_NN_relu_tensorflow_SGD-checkpoint.ipynb,3989
832,832,3_regularization.ipynb,https://nbviewer.jupyter.org/github/sidsriv/Udacity-Deep_Learning/blob/56971322adadef383cbbfca528310f259ac27992/3_regularization.ipynb,22562
833,833,2_fullyconnected.ipynb,https://nbviewer.jupyter.org/github/deepboun/notebook/blob/d1208c28d830290be2fe1bcde9304eb5f52946f5/tensorflow/udacity/2_fullyconnected.ipynb,9833
834,834,tf_learn.ipynb,https://nbviewer.jupyter.org/github/haoyuzhao123/undergraduate/blob/1261ddd74facbfa7128b05345f6efab7bcb252a0/machine_learning/tf_learn/tf_learn.ipynb,4390
835,835,2_fullyconnected.ipynb,https://nbviewer.jupyter.org/github/sduprey/DEEP_LEARNING_TENSORFLOW/blob/d97df5db258b51033e22c7925968fadc7e439b16/2_fullyconnected.ipynb,10114
836,836,3_regularization.ipynb,https://nbviewer.jupyter.org/github/philipgura/deep-learning/blob/f489aba572dc964e2978ef46eaee26ac5e305b7a/3_regularization.ipynb,16534
837,837,Chapter10.ipynb,https://nbviewer.jupyter.org/github/donwany/NN-TensorFlow-2/blob/826f01dff647fc86969f2fced9c741fed5af9d7e/10__serving/Chapter10.ipynb,17251
838,838,3_regularization.ipynb,https://nbviewer.jupyter.org/github/rxl194/cpcv102/blob/7af99140fc8a4e4f69466ff46968b4b76a76b2b8/ex/ud730_tf/3_regularization.ipynb,21976
839,839,2_fullyconnected.ipynb,https://nbviewer.jupyter.org/github/ra9hur/Udacity-Deep-Learning/blob/4bca09e61e2690cc4440d31a880531c247d8b214/2_fullyconnected.ipynb,10147
840,840,malbourne_housing_neural_network.ipynb,https://nbviewer.jupyter.org/github/Mr-nvk/malbourn_housing/blob/0fcf649b6e7c5f90b2fbc00a0e915eb42bcb5bfc/malbourne_housing_neural_network.ipynb,5181
841,841,3_regularization.ipynb,https://nbviewer.jupyter.org/github/caasted/udacity-mlnd/blob/85ec3106870822dc513b375cddf9f6f3f4ec6488/tensorflow/3_regularization.ipynb,13626
842,842,2_resource.ipynb,https://nbviewer.jupyter.org/github/merzto/phyton---tutorial-3-with-youtube/blob/c91fa4068d1929556b6359b730a32dec61352178/TensorFlow/Udacity/2_resource.ipynb,8729
843,843,3_regularization.ipynb,https://nbviewer.jupyter.org/github/zhoulw13/tensorflow-tutorial/blob/3975576f92771e83ac2bd73078cf6d12b16f7dc1/3_regularization.ipynb,16598
844,844,3_regularization.ipynb,https://nbviewer.jupyter.org/github/vanhuyz/udacity-dl/blob/9d0c7f9c73b5aed6ef63b9e9244fff2c8988eb1b/3_regularization.ipynb,20455
845,845,4_convolutions.ipynb,https://nbviewer.jupyter.org/github/prajwaldp/udacity-deep-learning-solutions/blob/1fdb53274cf298d0db4617276d2e6e0cf8aaeff8/4_convolutions.ipynb,12295
846,846,3_regularization.ipynb,https://nbviewer.jupyter.org/github/AntonOsika/udacity-deep-learning/blob/579c96f0f263a7042e2f6186356996de2f9f4939/3_regularization.ipynb,12524
847,847,Tensorflow-3-Regularization.ipynb,https://nbviewer.jupyter.org/github/yarenty/ML_python/blob/f34b2a0114192dec53d776e67568688faf6bf536/Tensorflow-3-Regularization.ipynb,16020
848,848,biology_sps_20170827_DNN-Export.ipynb,https://nbviewer.jupyter.org/github/bsaldivaremc2/tensorflow-learningdiary/blob/32160f3d7b51bd82254903588335d61937731a54/biology_sps_20170827_DNN-Export.ipynb,11929
849,849,Debug-checkpoint.ipynb,https://nbviewer.jupyter.org/github/HuangYiran/Tensorflow_formatted/blob/057221d8354a2f1504ffa59915da0b4244651075/.ipynb_checkpoints/Debug-checkpoint.ipynb,2759
850,850,2_fullyconnected.ipynb,https://nbviewer.jupyter.org/github/aneeshsathe/Udacity_TensorFlow_DeepLearning_course/blob/0ab21ca6a0c801827082200b2531c210f4293b4d/2_fullyconnected.ipynb,10628
851,851,3_regularization.ipynb,https://nbviewer.jupyter.org/github/ivarprudnikov/udacity-deep-learning/blob/34e2b0835c9b17d77715c4849744af10171f77ce/3_regularization.ipynb,11841
